name,split,hide_rank,model,seed,query_rows,query_species,hidden_candidate_species,kept_candidate_species,kept_train_species,hidden_rank_set,hidden_rank_top1_max_pct,hidden_rank_top10_max_pct,hidden_rank_zero_top10,deepest_supported_rank_top1,deepest_supported_rank_top10,top1_support_min_pct,top10_support_min_pct,species_top10_pct,genus_top10_pct,family_top10_pct,order_top10_pct,rank_backoff_interpretation,claim_boundary
eval_c_hide_species,eval_c,species,cnn,1206,11594,531,531,11107,3839,species,0.0,0.0,True,genus,genus,5.0,10.0,0.0,41.84060721062618,62.91185095739176,83.88821804381577,Do not force species-or-deeper calls; top-10 evidence supports genus at >= 10%.,"Forced retrieval over a pruned candidate tree; use as stress evidence for rank/no-call policy, not as prospective calibrated deployment performance."
eval_c_hide_genus,eval_c,genus,cnn,1206,11594,531,5307,6331,1868,species|genus,0.0,0.0,True,family,family,5.0,10.0,0.0,0.0,56.30498533724341,75.14231499051233,Do not force genus-or-deeper calls; top-10 evidence supports family at >= 10%.,"Forced retrieval over a pruned candidate tree; use as stress evidence for rank/no-call policy, not as prospective calibrated deployment performance."
eval_c_hide_family,eval_c,family,cnn,1206,11594,531,9871,1767,543,species|genus|family,0.0,0.0,True,order,order,5.0,10.0,0.0,0.0,0.0,40.88321545627048,Do not force family-or-deeper calls; top-10 evidence supports order at >= 10%.,"Forced retrieval over a pruned candidate tree; use as stress evidence for rank/no-call policy, not as prospective calibrated deployment performance."
unseen_genera_hide_species,unseen_genera,species,cnn,1206,9148,614,614,11024,3839,species,0.0,0.0,True,family,family,5.0,10.0,0.0,0.1202448622649759,53.279405334499344,82.93616090948841,Do not force species-or-deeper calls; top-10 evidence supports family at >= 10%.,"Forced retrieval over a pruned candidate tree; use as stress evidence for rank/no-call policy, not as prospective calibrated deployment performance."
unseen_genera_hide_genus,unseen_genera,genus,cnn,1206,9148,614,744,10894,3839,species|genus,0.0,0.0,True,family,family,5.0,10.0,0.0,0.0,47.409269785745515,80.67337122868386,Do not force genus-or-deeper calls; top-10 evidence supports family at >= 10%.,"Forced retrieval over a pruned candidate tree; use as stress evidence for rank/no-call policy, not as prospective calibrated deployment performance."
unseen_genera_hide_family,unseen_genera,family,cnn,1206,9148,614,6974,4664,1682,species|genus|family,0.0,0.0,True,order,order,5.0,10.0,0.0,0.0,0.0,50.95102754700481,Do not force family-or-deeper calls; top-10 evidence supports order at >= 10%.,"Forced retrieval over a pruned candidate tree; use as stress evidence for rank/no-call policy, not as prospective calibrated deployment performance."
